"feature","p"
"CHCHD7",8.43523573884505e-05
"PPM1D",0.107795580014243
"CANT1",0.722998921843565
"CHST11",0.669249677934003
"GPHN",0.545168452204273
"CAMTA1",0.234460227778242
"BCL2",0.96149387430326
"MLLT3",0.0122872003254632
"PTEN",0.292914042735859
"MALT1",0.524856168077041
"CLP1",0.00378531400497975
"AFF1",0.32877647202255
"TAF15",6.31572245721725e-07
"NBEA",0.589244600943943
"MYD88",0.402626759564548
"CHD2.x",0.0349445476248609
"EIF1AX",0.226736096253617
"STAT5B",0.87182742955463
"RNF213",0.114932694377378
"CNTNAP2",0.359623032810164
"HRAS",0.829199867143577
"ATR",0.000219203252370204
"DDIT3",0.00995385043613427
"SMAD2",0.0436609158957917
"ERCC4",0.724602181108548
"RMI2",0.0280640569914978
"ETV4",0.600247909542888
"POLE",0.760402452045708
"TBL1XR1.x",0.96709571880625
"JUN",0.00381462273501387
"MLF1",0.78448464803456
"PDE4DIP",0.855252025880099
"DDX10",0.257073449702333
"CD28",0.129389970853462
"MAF",0.0247697235539855
"SUZ12.x",0.0896775648692634
"PER1",0.468389297976148
"CALR.x",0.908771043198351
"PTPN11.x",0.601312442443856
"GATA2.x",0.618220441949567
"HMGN2P46",0.00609836324200114
"GPC5",0.733785743430322
"CIITA",0.380836569593098
"APOBEC3B",0.237480277258559
"MB21D2",0.120379846662404
"PRF1",0.198722482415809
"MUC16",0.436943259013235
"POLR2A",0.525253548561408
"SETD2.x",0.549847482436892
"PLAG1",0.248077848440008
"IDH2.x",0.276949523561213
"CREB3L2",0.936434437475951
"P2RY8",0.392738444855578
"RAD51B",0.56152943362053
"EXT1",0.266424418058759
"FES",0.29375606384449
"CSF1R",0.19829572851058
"LCK",0.245087853026831
"RBM10",0.15384912344679
"EWSR1",0.0601728526102993
"FANCF",0.577289791740254
"BCOR.x",0.920165810194465
"ZNRF3",0.395621456110156
"MACC1",0.985616321824121
"CHEK2",0.21770897805368
"CCR4",0.0770623501874217
"PRKD1",0.257965566721511
"MAML2",0.0533121910013291
"SS18L1",1.09535677753305e-08
"FOXO4",0.0823106042658038
"MED12",0.0338517279353614
"SEPT9",0.0431220796977239
"AMER1",0.43731067948693
"SEPT5",0.0770625772152036
"WT1.x",0.10719485088419
"ROBO2",0.0406540870506492
"SOCS1",0.0248483403696492
"MUC1",0.117560376136773
"PBX1",0.768093533656411
"IKZF1.x",0.89643175294254
"PTCH1",0.788950320386097
"BCL9L",0.168647204756406
"NF2",0.197444193368701
"BCR",0.754126758691096
"MITF",0.24471583016051
"FNBP1",0.304563867552114
"TCEA1",9.65757900402032e-07
"FANCA",0.962711512605689
"NUTM2B",0.155620155083111
"ARID2",0.593255057032725
"FHIT",0.00945493046796383
"PAX5",0.902236522302233
"FAT4",0.371438364920514
"SRGAP3",0.249457025035394
"TRRAP.x",0.00729981147988617
"NCOR2",0.226031971130872
"NACA",0.542936538653262
"NF1.x",0.551888778235162
"ARHGEF12",0.248328541440685
"FLNA",0.48141523053149
"ZNF429",0.557006911519102
"SRC",0.789185792209987
"SND1",0.0338771882195388
"BLM",0.229922308358181
"TRIM33",0.712720998808597
"MYO5A",0.866776488902806
"PDCD1LG2",0.108667383960109
"MDS2",0.328472608067652
"SIRPA",0.909257447332479
"CARD11",0.24163133602788
"HIST1H4I",0.197763202585205
"NTRK1",0.641882951113139
"CTNND1",0.219883673115137
"BAZ1A",0.261849712728408
"MDM4",0.743472335483433
"MTOR",0.502403956493225
"ZNF521",0.81731016358277
"TOP1",0.413883904965278
"MAFB",0.127776681347876
"DAXX",0.140635611681734
"SDHD",2.19099405675668e-07
"TRIM27",0.2555375418792
"DCTN1",0.0364757229157585
"TMSB4X",0.410216471770758
"CRLF2",0.463902728640361
"OLIG2",0.823724600809832
"HLA-A",0.180758693236189
"FGFR1OP",0.00029773658506262
"MLLT11",0.889666811947654
"NRAS.x",0.0497594537056532
"NCKIPSD",0.431204740390489
"NUTM2D",0.923805317295125
"MTCP1",0.0694224104910689
"DDX3X",0.922834124806974
"FANCG",0.455370477644342
"ETV5",0.0571937521866938
"CEBPA.x",0.0145542152739828
"MALAT1",2.77529104638996e-06
"LYN",0.604292807619415
"LSM14A",0.0736017955397015
"CUX1",0.982447484347683
"C15orf65",0.698419622416739
"SLC4A1.x",0.375545417676522
"THSD7A",0.187220273862388
"PRSS21",0.0859303232139983
"PROM1",0.713404777291323
"LTF",0.297566036593696
"KDM5D",0.953702577061558
"VCAN",0.219080519752058
