"feature","p_value","q_value","method","beta","r_squared"
"WNK2",3.89520057890872e-07,2.45005811560945e-06,"linear_regression (continuous/count feature)",0.0157412835703149,0.141686839762992
"CDX2",2.33854894947452e-11,5.40408159411178e-10,"linear_regression (continuous/count feature)",-0.0185286947136931,0.232834638899346
"STAT6",7.50008497198222e-07,4.5042883193317e-06,"linear_regression (continuous/count feature)",-0.0384369288906396,0.135227571746791
"SDHAF2",5.18516859281194e-06,2.58446926294893e-05,"linear_regression (continuous/count feature)",0.0545136385916054,0.115953666859167
"MAP2K1",2.79699814599843e-07,1.84671368273064e-06,"linear_regression (continuous/count feature)",0.0335626449655496,0.144937716957615
"CHCHD7",1.20746782649501e-05,5.28205061549052e-05,"linear_regression (continuous/count feature)",0.0363129498221325,0.10743386327124
"CANT1",9.2959059484821e-07,5.48974890179804e-06,"linear_regression (continuous/count feature)",0.0536170740486068,0.133103148157348
"BCL2",5.74301859725902e-06,2.78759304515358e-05,"linear_regression (continuous/count feature)",-0.0231825801792094,0.114926650281212
"MLLT3",6.87409538234447e-10,9.20843017765479e-09,"linear_regression (continuous/count feature)",0.0157626148903015,0.202152957060561
"AFF1",3.50128209542726e-11,7.2977703283121e-10,"linear_regression (continuous/count feature)",-0.0603057746461076,0.229229524950944
"TAF15",1.51498437320365e-06,8.43156224458367e-06,"linear_regression (continuous/count feature)",-0.0621625708164204,0.128254794752747
"ATR",1.91844475767464e-10,2.95551706870745e-09,"linear_regression (continuous/count feature)",-0.0846627080115916,0.213864099931486
"MLF1",2.37630051668899e-07,1.5987388919243e-06,"linear_regression (continuous/count feature)",0.0136631463194048,0.146534071510534
"DDX10",5.73276164450105e-08,4.44812089642673e-07,"linear_regression (continuous/count feature)",-0.0513608752521242,0.160357639642257
"POLR2A",1.21204008780043e-08,1.09186323163717e-07,"linear_regression (continuous/count feature)",-0.057336916577759,0.175250273293433
"PLAG1",1.05440818148937e-11,2.73374609005658e-10,"linear_regression (continuous/count feature)",0.0188713945783476,0.239904045319372
"CREB3L2",3.58869154955338e-06,1.8608678620367e-05,"linear_regression (continuous/count feature)",-0.0413686435518401,0.1196457423981
"EXT1",2.22116261870519e-05,9.11104800723818e-05,"linear_regression (continuous/count feature)",0.0146945500302,0.101258529220267
"RBM10",1.04000480363015e-08,9.53038884705907e-08,"linear_regression (continuous/count feature)",-0.0811312670946876,0.176705130660729
"FANCF",4.47123353610551e-09,4.65972671458839e-08,"linear_regression (continuous/count feature)",-0.0428178786942171,0.184687951279921
"MACC1",1.94984175098749e-05,8.20645882752772e-05,"linear_regression (continuous/count feature)",-0.00936819521111004,0.102580674433224
"MED12",1.16105413295834e-06,6.60000290553322e-06,"linear_regression (continuous/count feature)",-0.0459356453269355,0.130898562311346
"AMER1",1.06149307008037e-05,4.74103837603123e-05,"linear_regression (continuous/count feature)",-0.0396800656139587,0.108735955958932
"SEPT5",2.03063683027944e-05,8.43190215073063e-05,"linear_regression (continuous/count feature)",0.0148281015998878,0.102168764524187
"WT1_x",4.88741129604154e-11,9.27735394230742e-10,"linear_regression (continuous/count feature)",-0.0119155848531983,0.226238484786714
"PBX1",4.36388778103242e-08,3.51907893956802e-07,"linear_regression (continuous/count feature)",0.0123510585829129,0.162988816780013
"FNBP1",1.85640014183542e-09,2.14494929431636e-08,"linear_regression (continuous/count feature)",-0.0538291271471909,0.192928520754259
"TRRAP_x",1.18785664543247e-05,5.2358806208999e-05,"linear_regression (continuous/count feature)",-0.0645673851230936,0.107599407871667
"SND1",5.34020086388617e-06,2.6159601466871e-05,"linear_regression (continuous/count feature)",-0.0484928134693233,0.115657644181537
"MAFB",5.20763805660487e-06,2.58446926294893e-05,"linear_regression (continuous/count feature)",0.00883510289730863,0.115910223121768
"TMSB4X",3.77914887733262e-10,5.57813225449406e-09,"linear_regression (continuous/count feature)",0.0541887345883966,0.207662223572166
"FGFR1OP",1.61845623435447e-06,8.91408796434614e-06,"linear_regression (continuous/count feature)",-0.0383877038032347,0.127597417792721
"MLLT11",1.81679170699353e-07,1.27765126122016e-06,"linear_regression (continuous/count feature)",-0.0218421169918384,0.149158152948944
"LYN",4.47295231805098e-06,2.26416586385152e-05,"linear_regression (continuous/count feature)",0.0306904488262997,0.117437273076762
"CUX1",6.46843742644018e-06,3.09727431725491e-05,"linear_regression (continuous/count feature)",-0.0561166072915586,0.113730098625789
"LTF",3.99584902963591e-13,1.84677718195781e-11,"linear_regression (continuous/count feature)",0.0114562891536679,0.268317772538057
"DSG2",9.67833693865592e-07,5.62424309819371e-06,"linear_regression (continuous/count feature)",0.00736528432118225,0.132703711496373
"SNCAIP_x",5.99369874007154e-06,2.89604625486184e-05,"linear_regression (continuous/count feature)",-0.00676887250865787,0.114497003606045
"ADCY2",2.17641332151772e-06,1.19253987668729e-05,"linear_regression (continuous/count feature)",-0.00741389603171549,0.124645693429084
"CEACAM6",7.11861576712116e-11,1.30467044145686e-09,"linear_regression (continuous/count feature)",0.0109571206123411,0.222853371135994
